ZONE T="boundary0"
-0.169021 0.236521 
-0.166548 0.23566 
-0.153121 0.230466 
-0.154329 0.23097 
-0.157969 0.232444 
-0.15554 0.231468 
-0.17026 0.236942 
-0.18277 0.240791 
-0.18151 0.240435 
-0.171502 0.237356 
-0.172746 0.237764 
-0.17649 0.238948 
-0.167783 0.236094 
-0.156753 0.231959 
-4.5625 -0.25 
-0.234302 0.249507 
-0.230385 0.249229 
-0.23169 0.249329 
-0.239531 0.249781 
-0.240839 0.249832 
-0.236916 0.249657 
-0.238223 0.249722 
-0.223868 0.24863 
-0.232996 0.249421 
-0.235609 0.249585 
-0.248691 0.249997 
-0.247382 0.249986 
-0.226473 0.24889 
-0.22517 0.248764 
-0.242147 0.249877 
-0.243456 0.249914 
-9.5 0.25 
-9.75 0.25 
-7.75 -0.25 
-10 0.25 
-0.210891 0.246922 
-0.212185 0.247123 
-0.244764 0.249945 
-0.246073 0.249969 
-0.213479 0.247318 
-0.208308 0.246499 
-0.217368 0.247861 
-0.209599 0.246714 
-0.218667 0.248029 
-0.227776 0.24901 
-0.229081 0.249123 
-0.221266 0.248343 
-0.222566 0.24849 
-0.214775 0.247506 
-0.216071 0.247687 
-0.219966 0.248189 
-0.0947131 0.195923 
-0.0936893 0.195108 
-0.0998949 0.199921 
-0.0967732 0.197539 
-0.095741 0.196734 
-0.103054 0.202254 
-0.101997 0.201482 
-0.0896376 0.191791 
-0.0886356 0.190949 
-0.0978096 0.198338 
-0.0988502 0.199132 
-0.100944 0.200704 
-0.104115 0.203021 
-0.0926699 0.194286 
-0.111652 0.20823 
-0.110564 0.207503 
-0.109479 0.20677 
-0.106249 0.204537 
-0.10518 0.203782 
-0.112744 0.208952 
-0.11384 0.209668 
-0.108398 0.206032 
-0.11494 0.210378 
-0.0760218 0.179532 
-0.0750842 0.178618 
-0.0817469 0.184908 
-0.080781 0.184024 
-0.0836924 0.18666 
-0.0827173 0.185786 
-0.0769642 0.18044 
-0.0798198 0.183136 
-0.0713818 0.174916 
-0.0704684 0.173978 
-0.0741513 0.1777 
-0.090644 0.192628 
-0.0916548 0.19346 
-0.087638 0.190101 
-0.0866448 0.189249 
-0.0788632 0.182242 
-0.0779114 0.181344 
-0.0856562 0.188391 
-0.084672 0.187528 
-0.138841 0.223928 
-0.140015 0.224507 
-0.116043 0.211082 
-0.13767 0.223343 
-0.136502 0.222752 
-0.144741 0.226761 
-0.147121 0.227851 
-0.14593 0.227309 
-0.131862 0.220326 
-0.13071 0.219704 
-0.143555 0.226207 
-0.142372 0.225646 
-0.148316 0.228386 
-0.135338 0.222154 
-0.151916 0.229955 
-0.150713 0.229439 
-0.141192 0.22508 
-0.149513 0.228916 
-0.121615 0.214516 
-0.123868 0.215849 
-0.125 0.216506 
-0.12274 0.215186 
-0.11715 0.21178 
-0.118261 0.212473 
-0.107322 0.205287 
-0.133018 0.220941 
-0.126135 0.217158 
-0.129562 0.219077 
-0.128416 0.218443 
-0.119375 0.21316 
-0.120493 0.213841 
-0.134176 0.221551 
-0.0713818 -0.174916 
-1.86719 0.25 
-1.6875 0.25 
-0.0686564 -0.172089 
-0.0677578 -0.171137 
-0.0668643 -0.17018 
-0.0659757 -0.169219 
-0.0650922 -0.168253 
-0.0532662 -0.154259 
-0.0704684 -0.173978 
-0.0642138 -0.167283 
-0.0633405 -0.166308 
-0.0607512 -0.163355 
-0.0598985 -0.162362 
-0.059051 -0.161364 
-0.0582087 -0.160362 
-0.0624722 -0.165328 
-0.0616092 -0.164344 
-0.0565399 -0.158345 
-0.0548924 -0.156311 
-0.0540766 -0.155287 
-0.0573717 -0.159356 
-0.0524612 -0.153227 
-0.0485179 -0.148003 
-0.0492956 -0.149056 
-0.0516617 -0.15219 
-0.0508675 -0.15115 
-0.0500788 -0.150105 
-0.0477458 -0.146946 
-0.0469791 -0.145885 
-0.0462181 -0.14482 
